"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/1147514365224148993/status/1187418589265092608"	""	"0"	"Thu Oct 24 17:20:27 +0000 2019"	"0"	"0"	"1"	"https://t.co/oL2MIDORRq"	""	""	"AB24sss"	"RT @ShuaibMA: “Where you from”  “NW London” https://t.co/oL2MIDORRq"	"Somewhere in the hood"	""	""
"http://twitter.com/1058833930709651456/status/1187169234553409536"	""	"0"	"Thu Oct 24 00:49:36 +0000 2019"	"0"	"0"	"1"	"https://t.co/bEeOHKDVmK"	""	""	"MarilynMidas"	"💋 UPDATED TRAVEL SCHEDULE 💋  📍SF 11/1-3 📍Vegas 11/6-7 📍Dallas 11/8 📍Houston 11/9-10 📍ATL 11/14-16 📍Chicago 11/17-18… https://t.co/bEeOHKDVmK"	"Bay Area, Ca "	""	""
"http://twitter.com/969233377/status/1187171079938174977"	""	"0"	"Thu Oct 24 00:56:56 +0000 2019"	"0"	"0"	"0"	""	""	""	"ChristineYR_Kim"	"RT @SoCalTaxProf: John Vella (@UniofOxford) presents Residual Profit Allocation by Income (with Michael Devereux (Oxford), Alan Auerbach (@…"	"New York, NY"	""	""
"http://twitter.com/846136031774691328/status/1187171078742953985"	""	"0"	"Thu Oct 24 00:56:56 +0000 2019"	"0"	"0"	"2"	"https://t.co/iS6v2r431M"	"https://t.co/AjJNYJJkFT"	""	"teenageyippie"	"RT @istockhistory: Cache of 450 Bronze Age Weapons, Bracelets, Tools Is London's Largest Yet https://t.co/iS6v2r431M https://t.co/AjJNYJJkFT"	"nowheresville usa"	""	""
"http://twitter.com/2422336719/status/1187166710308192256"	""	"0"	"Thu Oct 24 00:39:34 +0000 2019"	"0"	"0"	"0"	""	""	""	"paleburnedacid"	"RT @marcodias: My Red Brompton bike was stolen from our carpark in Ranelagh yesterday morning. Oxford Lane, Dublin 6, near the hill pub, if…"	"Ireland"	""	""
"http://twitter.com/963868944707792902/status/1187171034690142213"	""	"0"	"Thu Oct 24 00:56:45 +0000 2019"	"0"	"0"	"0"	""	""	""	"Nicolerufus1"	"RT @osakuade: Girls from London are a different breed fam 😂"	"Ireland"	""	""
"http://twitter.com/1015365194/status/1187171035189260290"	""	"0"	"Thu Oct 24 00:56:46 +0000 2019"	"0"	"0"	"0"	""	""	""	"irenenelson19"	"RT @JamesArthur23: I'll be live streaming some of my London show at @EventimApollo tonight from 8.40pm! Set a reminder and tune in: https:/…"	"North East, England"	""	""
"http://twitter.com/2563557965/status/1187166683447746560"	""	"0"	"Thu Oct 24 00:39:28 +0000 2019"	"0"	"0"	"1"	"https://t.co/vF1WkKqCH0"	""	""	"afiqahzainal7"	"RT @_itsssyafiq1: Malaysia's canteen and cafes need to sell variety of fruits. not just watermelon and pineapple https://t.co/vF1WkKqCH0"	"Malaysia"	""	""
"http://twitter.com/831352498719952897/status/1187418625164169216"	""	"0"	"Thu Oct 24 17:20:36 +0000 2019"	"0"	"0"	"1"	"https://t.co/cc97ND29UB"	""	""	"antonious_azmi"	"RT @jamesholyspirit: Paul Walker didn't die for this https://t.co/cc97ND29UB"	""	""	""
"http://twitter.com/2564830902/status/1187418582822592515"	""	"0"	"Thu Oct 24 17:20:25 +0000 2019"	"0"	"0"	"2"	"https://t.co/xbdoLBd2rg"	"https://t.co/1WAwxp5rJ0"	""	"Fly4freecom"	"3 in 1 journey from London! Visit Venice, Marrakech and Seville for just £48! https://t.co/xbdoLBd2rg #CheapFlights https://t.co/1WAwxp5rJ0"	"Sky"	""	""
"http://twitter.com/341314063/status/1187418596252758017"	""	"0"	"Thu Oct 24 17:20:29 +0000 2019"	"0"	"0"	"1"	"https://t.co/cc97ND29UB"	""	""	"iMonaAmr"	"RT @jamesholyspirit: Paul Walker didn't die for this https://t.co/cc97ND29UB"	"Riyadh / Cairo"	""	""
"http://twitter.com/150522022/status/1187171020207247360"	""	"0"	"Thu Oct 24 00:56:42 +0000 2019"	"0"	"0"	"0"	""	""	""	"jamal2111"	"Who wants to bust a nutt at 2am. Freak twitter stand up. London"	"London, England"	""	""
"http://twitter.com/999464994034024450/status/1187169241180622851"	""	"0"	"Thu Oct 24 00:49:38 +0000 2019"	"0"	"0"	"1"	"https://t.co/NLQLxPIrP5"	""	""	"alexavalles6"	"RT @modernmodeIs: dior exhibition in london https://t.co/NLQLxPIrP5"	"El Paso, TX"	""	""
"http://twitter.com/177519695/status/1187171073869008896"	""	"0"	"Thu Oct 24 00:56:55 +0000 2019"	"0"	"0"	"1"	"https://t.co/5ORZomeo7B"	""	""	"Toey_125"	"RT @ChelseaFC: Another epic night in Amsterdam! 😍  Three points are coming back to London! #AJACHE https://t.co/5ORZomeo7B"	""	""	""
"http://twitter.com/3403285559/status/1187170993783087104"	""	"0"	"Thu Oct 24 00:56:36 +0000 2019"	"0"	"0"	"1"	"https://t.co/U3OReutJLd"	""	""	"djdotson966"	"RT @D0NNJ: This movie series was already in the gutter but y’all sending it to hell now https://t.co/U3OReutJLd"	""	""	""
"http://twitter.com/2867152475/status/1187169182535823361"	""	"0"	"Thu Oct 24 00:49:24 +0000 2019"	"0"	"0"	"0"	""	""	""	"bruna_275"	"RT @noahb1_: South London edition...  Yewande - La Retraite Amber - Elm Green Anna - Virgo Fidelis Molly - Ursuline Arabella - Streatham an…"	""	""	""
"http://twitter.com/20531532/status/1187418590435303426"	""	"0"	"Thu Oct 24 17:20:27 +0000 2019"	"0"	"0"	"1"	"https://t.c…"	""	""	"weaselspoon"	"RT @AltComMemSoc: London | @TheAlbany | Wednesday November 13th | w/ @turlygod &amp; multiple guests | #acms | comedy! not awful! | https://t.c…"	"London, England"	""	""
"http://twitter.com/453827963/status/1187171031250698243"	""	"0"	"Thu Oct 24 00:56:45 +0000 2019"	"0"	"0"	"1"	"https://t.co/sDg7p5HqT8"	""	""	"amaliashr"	"RT @thestylespics: Slightly different photo of Harry with fans last night in London, 10/22 via bbymaude. https://t.co/sDg7p5HqT8"	"Indonesia"	""	""
