"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/2830623808/status/1187170991346245632"	""	"0"	"Thu Oct 24 00:56:35 +0000 2019"	"0"	"0"	"0"	""	""	""	"glammedupabi"	"This was honestly a dream. It was amazing."	"631"	"948"	"West Side, St. Croix"	""	""
"http://twitter.com/1114080047680221184/status/1187169170112139264"	""	"0"	"Thu Oct 24 00:49:21 +0000 2019"	"0"	"0"	"0"	""	""	""	"AshokKu35870762"	"RT @OnePlus_IN: For those who can’t be home this Diwali, we’re bringing home closer to you.  You can experience Diwali through the Snapchat…"	"407"	"492"	""	""	""
"http://twitter.com/351917099/status/1187171022396628992"	""	"0"	"Thu Oct 24 00:56:42 +0000 2019"	"0"	"0"	"0"	""	""	""	"Craigy33"	"RT @DavidEdwardsRFC: Broke down at Abington, anyone know best way to London from here?"	"796"	"2527"	"Glasgow"	""	""
"http://twitter.com/785213669613400064/status/1187166699184885761"	""	"0"	"Thu Oct 24 00:39:32 +0000 2019"	"0"	"0"	"0"	""	""	""	"kianwardgk"	"One of life’s most memorable moments seeing the @BrooklynNets last season. WHAT A TEAM #WeGoHard @ London 🇬🇧"	"828"	"5001"	"Dartford"	""	""
"http://twitter.com/165025402/status/1187169232599109633"	""	"0"	"Thu Oct 24 00:49:36 +0000 2019"	"0"	"0"	"0"	""	""	""	"WeeNeiller"	"RT @AdamBienkov: The first thing Boris Johnson did when he became mayor of London was cancel regular press conferences and his first big mo…"	"1875"	"4856"	"Belfast"	""	""
"http://twitter.com/1084434266996592641/status/1187169159198760960"	""	"0"	"Thu Oct 24 00:49:18 +0000 2019"	"0"	"0"	"1"	"https://t.co/XNlw1pgp5M"	""	""	"alizaabi89"	"RT @naomyts: Today I’m very hard 🇧🇷🍆🇬🇧 IN London. Fock.  👅 https://t.co/XNlw1pgp5M"	"193"	"907"	"Abu Dhabi"	""	""
"http://twitter.com/1186656231798132736/status/1187171027031248897"	""	"0"	"Thu Oct 24 00:56:44 +0000 2019"	"0"	"0"	"0"	""	""	""	"sima26312839"	"RT @RajGhatak: London you beauty 😍 Taken yesterday near #towerbridge #walkiescorchie #bytheriver #riverthames #history #london #londinium #…"	"1"	"100"	""	""	""
"http://twitter.com/1901393682/status/1187169206086914049"	""	"0"	"Thu Oct 24 00:49:29 +0000 2019"	"0"	"0"	"1"	"https://t.co/Rij09372a1"	""	""	"Lucy_Skoulding"	"RT @hannahkanee_: Behold the most pure story you will see today 💛 https://t.co/Rij09372a1"	"674"	"1400"	"London, England"	""	""
"http://twitter.com/1133049422122803202/status/1187171085978079233"	""	"0"	"Thu Oct 24 00:56:58 +0000 2019"	"0"	"0"	"1"	"https://t.co/K4uhAX7yxY"	""	""	"BanksGriffith2"	"RT @AL6AFootball: Here is our https://t.co/K4uhAX7yxY 6A Top 10 football poll just released for upcoming games being played October 24-26 (…"	"72"	"177"	"Mobile, AL"	""	""
"http://twitter.com/897109373553692673/status/1187171021704650752"	""	"0"	"Thu Oct 24 00:56:42 +0000 2019"	"0"	"0"	"1"	"https://t.co/cc97ND29UB"	""	""	"O_Godas"	"RT @jamesholyspirit: Paul Walker didn't die for this https://t.co/cc97ND29UB"	"35"	"49"	""	""	""
